title,category,types,location,capacity
Mandsaur,Utility scale wind energy projects,wind,Madhya Pradesh,28.8 MW
Ostro - Rajgarh,Utility scale wind energy projects,wind,Rajasthan,25.6 MW
Rajgarh,Utility scale wind energy projects,wind,Rajasthan,25.6 MW
Vinjalpur,Utility scale wind energy projects,wind,Gujarat,12 MW
KCT Gamesa 40 Molagavalli,Utility scale wind energy projects,wind,Andhra Pradesh,40 MW
KCTGE 39.1 Molagavalli,Utility scale wind energy projects,wind,Andhra Pradesh,39.1 MW
KCT Gamesa 24 Kalyandurg,Utility scale wind energy projects,wind,Andhra Pradesh,24 MW
Ostro - Tejuva,Utility scale wind energy projects,wind,Rajasthan,50.4 MW
Pratapgarh,Utility scale wind energy projects,wind,Rajasthan,4.5 MW
Pratapgarh,Utility scale wind energy projects,wind,Rajasthan,46.5 MW
Vaspet-IV,Utility scale wind energy projects,wind,Maharashtra,49.5 MW
Dangri,Utility scale wind energy projects,wind,Rajasthan,30 MW
Welturi-II,Utility scale wind energy projects,wind,Maharashtra,23.1 MW
Budh-I,Utility scale wind energy projects,wind,Maharashtra,30 MW
Welturi-I,Utility scale wind energy projects,wind,Maharashtra,50.4 MW
Vaspet-II &amp; III,Utility scale wind energy projects,wind,Maharashtra,49.5 MW
Jamb,Utility scale wind energy projects,wind,Maharashtra,28 MW
Bakhrani,Utility scale wind energy projects,wind,Rajasthan,14.4 MW
Jath,Utility scale wind energy projects,wind,Maharashtra,50.2 MW
Jath,Utility scale wind energy projects,wind,Maharashtra,34.5 MW
Vaspet-I,Utility scale wind energy projects,wind,Maharashtra,19.5 MW
Vaspet-I,Utility scale wind energy projects,wind,Maharashtra,25.5 MW
SREI,Utility scale wind energy projects,wind,Rajasthan,60 MW
Jasdan,Utility scale wind energy projects,wind,Gujarat,25.2 MW
